,Time,Group,Run
C_3W_A_USR16088998L_HHFWCBBXX_L5_1,3W,Control,C_3W_A_USR16088998L_HHFWCBBXX_L5_1
C_3W_B_USR16088999L_HHFWCBBXX_L5_1,3W,Control,C_3W_B_USR16088999L_HHFWCBBXX_L5_1
C_3W_C_USR16089000L_HHFWCBBXX_L5_1,3W,Control,C_3W_C_USR16089000L_HHFWCBBXX_L5_1
J_3W_A_USR16089004L_HHFWCBBXX_L5_1,3W,JetLagged,J_3W_A_USR16089004L_HHFWCBBXX_L5_1
J_3W_B_USR16089005L_HHFWCBBXX_L5_1,3W,JetLagged,J_3W_B_USR16089005L_HHFWCBBXX_L5_1
J_3W_C_USR16089006L_HHFWCBBXX_L5_1,3W,JetLagged,J_3W_C_USR16089006L_HHFWCBBXX_L5_1
C_2W_A_USR16088995L_HHFWCBBXX_L5_1,2W,Control,C_2W_A_USR16088995L_HHFWCBBXX_L5_1
C_2W_B_USR16088996L_HHFWCBBXX_L5_1,2W,Control,C_2W_B_USR16088996L_HHFWCBBXX_L5_1
C_2W_C_USR16088997L_HHFWCBBXX_L5_1,2W,Control,C_2W_C_USR16088997L_HHFWCBBXX_L5_1
J_2W_A_USR16089001L_HHFWCBBXX_L5_1,2W,JetLagged,J_2W_A_USR16089001L_HHFWCBBXX_L5_1
J_2W_B_USR16089002L_HHFWCBBXX_L5_1,2W,JetLagged,J_2W_B_USR16089002L_HHFWCBBXX_L5_1
J_2W_C_USR16089003L_HHFWCBBXX_L5_1,2W,JetLagged,J_2W_C_USR16089003L_HHFWCBBXX_L5_1
